first_trade_open_time,closed_time,direction,total_layers,total_pnl
2026-07-04 19:30:00,2026-07-04 20:04:00,SELL,2,15.876999999997382
2026-07-05 03:20:00,2026-07-05 03:36:00,BUY,1,2.382
2026-07-05 06:17:00,2026-07-05 06:18:00,BUY,1,4.376400000000315
2026-07-05 06:20:00,2026-07-05 06:21:00,BUY,1,2.444400000000489
2026-07-05 06:22:00,2026-07-05 06:23:00,BUY,1,3.4403999999999653
2026-07-05 06:24:00,2026-07-05 06:26:00,BUY,1,2.382
2026-07-05 07:03:00,2026-07-05 07:04:00,BUY,1,2.42879999999993
2026-07-05 07:58:00,2026-07-05 07:59:00,BUY,1,2.382
2026-07-05 08:30:00,2026-07-05 08:46:00,BUY,2,4.764
2026-07-05 09:11:00,2026-07-05 09:20:00,BUY,2,4.764
2026-07-05 09:46:00,2026-07-05 10:00:00,BUY,1,2.382
2026-07-05 11:56:00,2026-07-05 12:31:00,BUY,2,4.764
2026-07-05 16:26:00,2026-07-05 16:31:00,BUY,1,7.938499999998691
2026-07-05 16:45:00,2026-07-05 16:46:00,BUY,1,21.336399999997973
2026-07-05 16:50:00,2026-07-05 16:51:00,BUY,1,9.72930000000191
2026-07-05 16:52:00,2026-07-05 16:55:00,BUY,1,7.938499999995708
2026-07-05 19:03:00,2026-07-05 19:15:00,BUY,1,7.938499999998691
2026-07-06 00:46:00,2026-07-06 00:48:00,BUY,1,19.85
2026-07-06 01:53:00,2026-07-06 01:55:00,SELL,1,0.1985
2026-07-06 03:21:00,2026-07-06 04:12:00,BUY,2,0.39700000000000013
2026-07-06 04:15:00,2026-07-06 04:16:00,BUY,1,0.1985
2026-07-06 04:17:00,2026-07-06 04:18:00,BUY,1,0.19940000000003782
2026-07-06 04:19:00,2026-07-06 04:20:00,BUY,1,0.8582000000000117
2026-07-06 08:28:00,2026-07-06 08:29:00,BUY,1,0.39269999999998256
2026-07-06 08:50:00,2026-07-06 09:01:00,BUY,1,0.19849999999992723
2026-07-06 09:14:00,2026-07-06 09:16:00,BUY,1,0.1985
2026-07-06 10:25:00,2026-07-06 10:35:00,BUY,2,0.3969999999998545
2026-07-06 10:40:00,2026-07-06 10:58:00,BUY,1,0.1985
2026-07-06 12:06:00,2026-07-06 12:10:00,BUY,1,7.938499999998691
2026-07-06 12:33:00,2026-07-06 12:35:00,BUY,1,7.938499999998691
2026-07-06 12:40:00,2026-07-06 12:41:00,BUY,1,15.116700000001671
2026-07-06 12:42:00,2026-07-06 12:43:00,BUY,1,7.938500000001674
2026-07-06 12:44:00,2026-07-06 12:54:00,BUY,1,7.938500000001674
2026-07-06 14:05:00,2026-07-06 14:06:00,BUY,1,15.662000000002386
2026-07-06 15:41:00,2026-07-06 15:42:00,BUY,1,13.41110000000024
2026-07-06 16:24:00,2026-07-06 17:03:00,BUY,2,15.876999999997382
2026-07-06 17:09:00,2026-07-06 17:49:00,SELL,3,24.60000000000179
2026-07-06 20:53:00,2026-07-06 20:55:00,SELL,1,2.382
2026-07-06 22:08:00,2026-07-06 22:22:00,SELL,3,59.54999999999999
2026-07-06 22:43:00,2026-07-07 09:26:00,SELL,21,416.84999999988395
2026-07-07 09:29:00,2026-07-07 09:43:00,BUY,2,4.764
2026-07-07 09:44:00,2026-07-07 12:53:00,BUY,9,21.437999999984278
2026-07-07 14:37:00,2026-07-07 14:44:00,BUY,1,7.938499999998691
2026-07-07 17:33:00,2026-07-07 17:38:00,BUY,1,7.938499999998691
2026-07-07 19:37:00,2026-07-07 19:38:00,BUY,1,13.714499999999404
2026-07-07 20:35:00,2026-07-07 20:37:00,BUY,3,7.146000000001744
2026-07-07 20:38:00,2026-07-07 20:40:00,BUY,2,4.764
2026-07-08 00:19:00,2026-07-08 00:20:00,BUY,1,63.820000000001166
2026-07-08 01:54:00,2026-07-08 02:01:00,BUY,3,7.145999999999997
2026-07-08 02:02:00,2026-07-08 02:04:00,BUY,2,4.764
2026-07-08 02:20:00,2026-07-08 02:22:00,BUY,1,2.382
2026-07-08 02:25:00,2026-07-08 02:27:00,BUY,1,2.382
2026-07-08 02:28:00,2026-07-08 02:29:00,BUY,1,2.382
2026-07-08 04:27:00,2026-07-08 04:28:00,BUY,1,4.49520000000007
2026-07-08 06:48:00,2026-07-08 07:03:00,BUY,2,4.764
2026-07-08 08:09:00,2026-07-08 08:10:00,BUY,1,2.382
2026-07-08 08:32:00,2026-07-08 08:48:00,BUY,6,14.292000000005235
2026-07-08 08:49:00,2026-07-08 08:50:00,BUY,1,2.382
2026-07-08 09:05:00,2026-07-08 09:07:00,BUY,1,2.382
2026-07-08 09:15:00,2026-07-08 09:17:00,BUY,1,2.382
2026-07-08 09:18:00,2026-07-08 09:23:00,BUY,1,2.382
2026-07-08 09:38:00,2026-07-08 09:40:00,BUY,1,2.382
2026-07-08 10:56:00,2026-07-08 10:57:00,BUY,1,2.382
2026-07-08 13:53:00,2026-07-08 13:54:00,SELL,1,7.938499999998691
2026-07-08 14:28:00,2026-07-08 14:38:00,SELL,1,7.938499999998691
2026-07-08 16:36:00,2026-07-08 16:37:00,SELL,1,7.938499999998691
2026-07-08 18:45:00,2026-07-08 18:46:00,SELL,1,15.46110000000024
2026-07-08 21:02:00,2026-07-08 21:03:00,SELL,1,4.947600000000559
2026-07-08 23:11:00,2026-07-08 23:12:00,SELL,1,19.85
2026-07-08 23:58:00,2026-07-08 23:59:00,SELL,1,19.85
2026-07-09 00:24:00,2026-07-09 00:25:00,SELL,1,19.85
2026-07-09 00:35:00,2026-07-09 00:40:00,SELL,1,19.85
2026-07-09 00:45:00,2026-07-09 00:46:00,SELL,1,19.85
2026-07-09 00:47:00,2026-07-09 00:48:00,SELL,1,19.85
2026-07-09 00:49:00,2026-07-09 00:50:00,SELL,1,19.85
2026-07-09 01:53:00,2026-07-09 01:54:00,SELL,1,4.258799999999931
2026-07-09 08:11:00,2026-07-09 08:12:00,SELL,1,2.4096000000003843
2026-07-09 08:15:00,2026-07-09 08:16:00,SELL,1,2.382
2026-07-09 08:17:00,2026-07-09 08:26:00,SELL,2,4.764
2026-07-09 11:07:00,2026-07-09 11:10:00,SELL,1,2.382
2026-07-09 11:35:00,2026-07-09 11:37:00,SELL,2,4.764
2026-07-09 11:38:00,2026-07-09 12:20:00,SELL,4,9.527999999999999
2026-07-09 12:21:00,2026-07-09 12:22:00,SELL,1,23.620099999997855
2026-07-09 12:23:00,2026-07-09 12:24:00,SELL,1,7.938499999998691
2026-07-09 12:53:00,2026-07-09 13:06:00,SELL,3,23.815499999996064
2026-07-09 13:10:00,2026-07-09 13:11:00,SELL,1,7.938499999998691
2026-07-09 13:12:00,2026-07-09 13:20:00,SELL,2,15.876999999997382
2026-07-09 13:29:00,2026-07-09 13:30:00,SELL,1,7.938499999998691
2026-07-09 13:31:00,2026-07-09 14:04:00,SELL,5,39.692500000008366
2026-07-09 15:54:00,2026-07-09 15:55:00,BUY,1,7.938499999998691
2026-07-09 17:28:00,2026-07-09 17:35:00,BUY,1,7.938499999995708
2026-07-09 17:54:00,2026-07-09 17:56:00,BUY,1,7.938499999998691
2026-07-09 18:58:00,2026-07-09 19:00:00,SELL,1,7.938499999998691
2026-07-09 20:08:00,2026-07-09 20:15:00,SELL,2,4.764
2026-07-09 20:47:00,2026-07-09 20:48:00,SELL,1,3.1584000000001398
2026-07-09 20:54:00,2026-07-09 20:55:00,SELL,1,8.25239999999979
2026-07-09 22:59:00,2026-07-09 23:00:00,BUY,1,19.85
2026-07-09 23:28:00,2026-07-09 23:29:00,BUY,1,35.60999999999476
2026-07-10 00:44:00,2026-07-10 01:05:00,SELL,3,59.54999999999999
2026-07-10 03:07:00,2026-07-10 03:08:00,BUY,1,2.542800000000454
2026-07-10 04:30:00,2026-07-10 04:38:00,BUY,1,2.382
2026-07-10 06:03:00,2026-07-10 06:04:00,BUY,1,2.382
2026-07-10 06:23:00,2026-07-10 06:24:00,BUY,1,11.676000000000522
2026-07-10 07:35:00,2026-07-10 07:36:00,BUY,1,2.382
2026-07-10 07:40:00,2026-07-10 07:41:00,BUY,1,2.382
2026-07-10 07:42:00,2026-07-10 07:58:00,BUY,2,4.764
2026-07-10 10:12:00,2026-07-10 10:13:00,BUY,1,2.482800000000454
2026-07-10 13:29:00,2026-07-10 13:30:00,BUY,1,7.938499999998691
2026-07-10 14:03:00,2026-07-10 14:04:00,BUY,1,7.938499999998691
2026-07-10 21:13:00,2026-07-10 21:16:00,BUY,2,4.764
2026-07-10 21:20:00,2026-07-10 21:24:00,BUY,2,4.764
2026-07-10 22:44:00,2026-07-10 22:46:00,BUY,1,19.85
2026-07-10 23:40:00,2026-07-10 23:41:00,BUY,1,29.510000000003494
2026-07-11 01:56:00,2026-07-11 01:57:00,BUY,1,2.6507999999997556
2026-07-11 02:24:00,2026-07-11 02:25:00,BUY,1,4.32239999999979
2026-07-11 03:07:00,2026-07-11 03:16:00,BUY,1,2.382
2026-07-11 05:54:00,2026-07-11 05:55:00,BUY,1,4.759199999999721
2026-07-11 06:04:00,2026-07-11 06:10:00,BUY,1,2.382
2026-07-11 08:43:00,2026-07-11 08:44:00,BUY,1,2.382
2026-07-11 09:01:00,2026-07-11 09:04:00,BUY,1,2.382
2026-07-11 11:12:00,2026-07-11 11:14:00,BUY,1,2.382
