open_date,max_layers,basket_count
2025-07-14,1,2
2025-07-15,3,17
2025-07-23,2,12
2025-07-24,6,15
2025-07-25,4,10
2025-07-26,5,21
2025-08-03,4,18
2025-08-04,7,23
2025-08-12,2,16
2025-08-13,3,21
2025-08-14,6,9
2025-08-22,3,18
2025-08-23,5,13
2025-08-31,2,20
2025-09-01,13,16
2025-09-02,9,26
2025-09-03,4,16
2025-09-04,3,23
2025-09-05,11,9
2025-09-12,2,14
2025-09-13,4,7
2025-09-21,3,20
2025-09-22,2,13
2025-09-23,3,19
2025-09-24,3,22
2025-09-25,2,10
2025-09-26,4,15
2025-09-27,3,19
2025-09-28,168,13
2025-10-18,3,16
2025-10-19,5,27
2025-10-27,3,14
2025-10-28,5,25
2025-10-29,4,14
2025-11-05,5,1
2025-11-13,19,6
2025-11-14,8,4
2025-11-21,6,7
2025-11-29,1,6
2025-11-30,6,13
2025-12-01,70,15
2025-12-02,19,18
2025-12-03,4,21
2025-12-04,5,18
2025-12-05,2,31
2025-12-06,3,15
2025-12-07,5,13
2025-12-15,11,4
2025-12-23,4,13
2025-12-31,2,7
2026-01-08,2,14
2026-01-09,3,20
2026-01-10,7,16
2026-01-11,3,16
2026-01-12,5,19
2026-01-13,1,2
2026-01-20,1,3
2026-01-21,3,25
2026-01-22,3,13
2026-01-23,2,19
2026-01-24,10,1
2026-01-31,2,5
2026-02-01,5,17
2026-02-02,9,7
2026-02-10,2,10
2026-02-11,2,1
2026-02-18,5,13
2026-02-19,4,9
2026-02-20,4,17
2026-02-21,3,12
2026-02-22,3,9
2026-03-01,4,22
2026-03-02,4,9
2026-03-10,3,13
2026-03-11,2,13
2026-03-18,34,19
2026-03-26,6,15
2026-03-27,3,17
2026-03-28,3,26
2026-03-29,4,13
2026-03-30,5,21
2026-04-07,6,11
2026-04-08,1,11
2026-04-09,3,21
2026-04-10,3,11
2026-04-11,4,16
2026-04-12,10,16
2026-04-13,2,14
2026-04-14,2,11
2026-04-15,5,22
2026-04-16,3,21
2026-04-17,2,6
2026-04-18,5,8
2026-04-25,5,8
2026-04-26,1,10
2026-04-27,3,4
2026-05-04,6,12
2026-05-12,8,17
2026-05-13,3,2
2026-05-20,10,3
2026-05-28,2,11
2026-05-29,6,7
2026-06-06,3,9
2026-06-07,4,31
2026-06-08,8,15
2026-06-09,2,10
2026-06-10,8,16
2026-06-11,3,22
2026-06-12,5,2
2026-06-19,2,10
2026-06-20,6,27
2026-06-28,1,12
2026-06-29,6,8
2026-07-07,9,10
2026-07-08,6,10
2026-07-16,8,9
2026-07-17,6,16
