open_date,max_layers,basket_count
2025-09-14,9,1
2025-09-15,2,1
2025-09-17,7,3
2025-09-18,7,3
2025-09-19,3,1
2025-09-20,3,2
2025-09-21,2,3
2025-09-22,2,3
2025-09-23,4,1
2025-09-24,3,2
2025-09-26,3,3
2025-09-27,5,2
2025-09-28,22,3
2025-10-02,3,3
2025-10-03,5,2
2025-10-04,4,2
2025-10-05,9,1
2025-10-06,1,2
2025-10-07,123,2
2025-10-12,22,2
2025-10-14,36,2
2025-10-15,8,4
2025-10-16,2,3
2025-10-17,4,3
2025-10-18,2,4
2025-10-19,3,8
2025-10-20,8,5
2025-10-21,4,2
2025-10-22,7,2
2025-10-23,12,1
2025-10-24,5,3
2025-10-25,4,2
2025-10-26,2,1
2025-10-27,9,1
2025-10-28,10,1
2025-10-29,14,2
2025-10-31,17,1
2025-11-04,3,2
2025-11-05,7,2
2025-11-06,6,1
2025-11-07,1,1
2025-11-08,11,1
2025-11-09,22,2
2025-11-10,3,1
2025-11-11,4,2
2025-11-12,14,2
2025-11-13,4,1
2025-11-16,6,2
2025-11-17,1,2
2025-11-18,2,2
2025-11-19,2,3
2025-11-20,12,1
2025-11-21,5,1
2025-11-23,10,2
2025-11-24,2,2
2025-11-25,2,1
2025-11-26,4,2
2025-11-27,2,1
2025-11-28,3,3
2025-11-29,5,1
2025-11-30,1,1
2025-12-01,2,1
2025-12-02,42,1
2025-12-05,3,1
2025-12-06,1,1
2025-12-07,15,2
2025-12-08,5,3
2025-12-10,2,2
2025-12-11,14,1
2025-12-12,2,2
2025-12-13,5,1
2025-12-14,1,1
2025-12-15,5,4
2025-12-16,3,3
2025-12-17,1,2
2025-12-18,17,1
2025-12-19,23,1
2025-12-23,2,1
2025-12-24,1,1
2025-12-25,3,2
2025-12-26,1,1
2025-12-27,13,1
2025-12-29,7,1
2025-12-30,2,2
2025-12-31,1,3
2026-01-01,1,1
2026-01-02,1,2
2026-01-03,4,1
2026-01-04,2,1
2026-01-05,5,2
2026-01-06,7,1
2026-01-07,4,4
2026-01-08,9,1
2026-01-09,1,2
2026-01-10,6,1
2026-01-12,7,1
2026-01-13,1,1
2026-01-14,2,1
2026-01-15,10,2
2026-01-18,2,1
2026-01-19,1,1
